address,amount,decimals,ui_amount_string,owned_percentage
26ddLrqXDext6caX1gRxARePN4kzajyGiAUz9JmzmTGQ,4090152115064232,6,4090152115.064232,40.901604035676385655897017970
6G4XDSge4txj5tBkA5gZqefXXE3BRxqA37Yb1pmrHv6N,3500000000000000,6,3500000000,35.000070925875387703014252070
7bEL9XkPGNg7a3oSiUERKsZtFoJMqKh6VhGDCmMCPqdg,650000000000000,6,650000000,6.5000131719482862877026468100
K6U4dQ8jANMEqQQycXYiDcf3172NGefpQBzdDbavQbA,500000000000000,6,500000000,5.0000101322679125290020360100
GDijXRGfd1jhk5GkRPp1TDnEH2FfHURSRZeB5um3pUWk,190039583545000,6,190039583.545,1.9003996865139489267560693200
4QDgg3MSLiy3E5x4NB9JAJTLhkB2ZZznyeokmr3cAPaj,81871900000000,6,81871900,0.8187206590960506155664035800
CeLRs4kchQbWEcqZf7ctGrYhXwbU89fVxRs4Q34XeiHq,57593092134117,6,57593092.134117,0.5759320884384488276802851100
E6FLdjDBtHvzhMGihcbec34KfcAqSYW67kfJV8RAKH1f,41567030634882,6,41567030.634882,0.4156711486854014418498406900
B3NG3yTDwf3sL1oCUvf39HtdzWbtYoinNWqKDoRJTeuH,34113345604606,6,34113345.604606,0.3411341473371741171232849700
649KG5AEPic6MDVdbXjLPWj3vy6Lc466qGjV9d5Y3VyZ,21841695041612,6,21841695.041612,0.21841739302793165073814700
HCSDiPfAvrZzzSp7KUxFJS1b5Dud8qxQw2VETWDFNV2R,20224818977065,6,20224818.977065,0.2022485996172187160466677100
4AWAjssbahfbzS7Qs3DJ7588CsCKyNPYcVw9ztENtv23,16526790004458,6,16526790.004458,0.1652682349523081185496718300
HnYpR2c6RaKMiYuofaQEctt5HZDQqwgKboW3ttZkqeFU,14285228974748,6,14285228.974748,0.142852579231014327937467800
2V9CYburvmC2X2w96HFreUd9iEcW7BdWTFTJCt46tuai,13102800665992,6,13102800.665992,0.1310282721820935045887589600
594567HZxxmCNxLshew2svWndJHwjkwfMnX71q65fY17,11730314801303,6,11730314.801303,0.117303385722414530212806200
HZ9TkcmJYGbyg4QgHWQpjpujKhQkEziEr8oYFWEfUaiK,9904137451700,6,9904137.4517,0.0990415752197482062733374500
FoH4i1gYQM7LsZvmCURxkLrKoV8kCqBirJK5ib3mFVSF,9182774027600,6,9182774.0276,0.0918279263606532557123770600
24hHmHyTMDg331fK58jyiro4G3hm1NKJihfmzV4tDoJ7,9013535200304,6,9013535.200304,0.0901355346581469769817806400
4w49W4fNDn778wsBa6TNq9hvebZKU17ymsptrEZ8zrsm,8682184984209,6,8682184.984209,0.0868220257825386522839418700
5FHvWYqRgBAgEPsSnhwMjRAVfYFTJioHWJpJkZQD386b,7159461565413,6,7159461.565413,0.0715947607372953804375973400
